SCHOOL,ID,LONGITUD,LATITUDE,Year,Round,Is_Center
Georgetown,131496,-77.073463,38.908809000000005,1985,All,N
Georgia Tech,139755,-84.394832,33.772420000000004,1985,All,N
Illinois,145637,-88.229114,40.104718,1985,All,N
Loyola-Chicago,146719,-87.65687199999999,42.000765,1985,All,N
SMU,228246,-96.783365,32.843612,1985,All,N
Georgia,139959,-83.374039,33.956262,1985,All,N
Syracuse,196413,-76.136975,43.040176,1985,All,N
Temple,216339,-75.156859,39.980546000000004,1985,All,N
Virginia Tech,233921,-80.423675,37.229012,1985,All,N
DePaul,144740,-87.62724,41.877618,1985,All,N
Wichita State,156125,-97.292361,37.718882,1985,All,N
Old Dominion,232982,-76.30666,36.886418,1985,All,N
Iona,191931,-73.788046,40.925725,1985,All,N
Northeastern,167358,-71.088782,42.339991999999995,1985,All,N
Mercer,140447,-83.64829499999999,32.831787,1985,All,N
Lehigh,213543,-75.380236,40.606821999999994,1985,All,N
Oklahoma,207500,-97.444211,35.209407,1985,All,N
Memphis,220862,-89.938068,35.118878,1985,All,N
Duke,198419,-78.937624,36.001135,1985,All,N
Ohio State,204796,-83.014853,39.999324,1985,All,N
Louisiana Tech,159647,-92.649963,32.528296999999995,1985,All,N
Texas Tech,229115,-101.874783,33.583448,1985,All,N
UAB,100663,-86.799345,33.505697,1985,All,N
USC,123961,-118.28416899999999,34.021281,1985,All,N
Illinois State,145813,-88.99005799999999,40.509403000000006,1985,All,N
Michigan State,171100,-84.476111,42.73212,1985,All,N
Boston College,164924,-71.16924200000001,42.336213,1985,All,N
Pittsburgh,215293,-79.953254,40.444388000000004,1985,All,N
Iowa State,153603,-93.648504,42.026212,1985,All,N
Pepperdine,121150,-118.707077,34.037786,1985,All,N
Penn,215062,-75.19391,39.950928999999995,1985,All,N
North Carolina A&T,199102,-79.773375,36.07282,1985,All,N
Michigan,170976,-83.742769,42.275921000000004,1985,All,N
North Carolina,199120,-79.050969,35.911769,1985,All,N
Kansas,155317,-95.247567,38.958549,1985,All,N
LSU,159391,-91.178921,30.414986,1985,All,N
Maryland,163286,-76.944721,38.988178000000005,1985,All,N
Purdue,243780,-86.914435,40.428206,1985,All,N
Notre Dame,152080,-86.238959,41.703058,1985,All,N
Villanova,216597,-75.345457,40.039388,1985,All,N
Dayton,202480,-84.176113,39.739546999999995,1985,All,N
Oregon State,209542,-123.274723,44.56395,1985,All,N
Auburn,100858,-85.488258,32.599378,1985,All,N
Miami (OH),204024,-84.732954,39.507757,1985,All,N
Navy,164155,-76.48169200000001,38.980507,1985,All,N
Ohio,204857,-82.100985,39.326798,1985,All,N
Middle Tennessee State,220978,-86.360618,35.848005,1985,All,N
Fairleigh Dickinson,184603,-74.028986,40.897209000000004,1985,All,N
St. John's,195809,-73.796104,40.722522999999995,1985,All,N
VCU,234030,-77.452697,37.549620000000004,1985,All,N
NC State,199193,-78.67451700000001,35.785111,1985,All,N
UNLV,182281,-115.138462,36.106047,1985,All,N
Washington,236948,-122.30514,47.65538,1985,All,N
Tulsa,207971,-95.945941,36.152324,1985,All,N
Alabama,100751,-87.545978,33.211875,1985,All,N
Iowa,153658,-91.536425,41.661935,1985,All,N
Arkansas,106397,-94.17698100000001,36.070009000000006,1985,All,N
Arizona,104179,-110.95081499999999,32.232671999999994,1985,All,N
UTEP,228796,-106.504098,31.77015,1985,All,N
Kentucky,157085,-84.504747,38.038911,1985,All,N
San Diego State,122409,-117.071228,32.77525,1985,All,N
Nevada,182290,-119.815377,39.543642,1985,All,N
Marshall,237525,-82.42896400000001,38.422482,1985,All,N
Southern,160621,-91.190105,30.524558000000003,1985,All,N
Centroid,0,-88.68064167,37.83604058,1985,All,Y
Georgetown,131496,-77.073463,38.908809000000005,1985,Sweet 16,N
Loyola-Chicago,146719,-87.65687199999999,42.000765,1985,Sweet 16,N
Georgia Tech,139755,-84.394832,33.772420000000004,1985,Sweet 16,N
Illinois,145637,-88.229114,40.104718,1985,Sweet 16,N
St. John's,195809,-73.796104,40.722522999999995,1985,Sweet 16,N
Kentucky,157085,-84.504747,38.038911,1985,Sweet 16,N
NC State,199193,-78.67451700000001,35.785111,1985,Sweet 16,N
Alabama,100751,-87.545978,33.211875,1985,Sweet 16,N
Villanova,216597,-75.345457,40.039388,1985,Sweet 16,N
Maryland,163286,-76.944721,38.988178000000005,1985,Sweet 16,N
North Carolina,199120,-79.050969,35.911769,1985,Sweet 16,N
Auburn,100858,-85.488258,32.599378,1985,Sweet 16,N
Oklahoma,207500,-97.444211,35.209407,1985,Sweet 16,N
Louisiana Tech,159647,-92.649963,32.528296999999995,1985,Sweet 16,N
Memphis,220862,-89.938068,35.118878,1985,Sweet 16,N
Boston College,164924,-71.16924200000001,42.336213,1985,Sweet 16,N
Centroid,0,-83.11915725,37.20479,1985,Sweet 16,Y
Georgetown,131496,-77.073463,38.908809000000005,1985,Elite 8,N
Georgia Tech,139755,-84.394832,33.772420000000004,1985,Elite 8,N
St. John's,195809,-73.796104,40.722522999999995,1985,Elite 8,N
